Id,topic,Label
2023-10-30_2741.txt,62,2023-10-30_2741.txt
2023-10-27_2821.txt,62,2023-10-27_2821.txt
2023-10-26_2844.txt,62,2023-10-26_2844.txt
2023-10-31_2708.txt,62,2023-10-31_2708.txt
2023-10-23_2894.txt,62,2023-10-23_2894.txt
2023-11-09_2473.txt,62,2023-11-09_2473.txt
2023-10-28_2762.txt,62,2023-10-28_2762.txt
2023-11-12_2393.txt,62,2023-11-12_2393.txt
2023-10-19_2985.txt,62,2023-10-19_2985.txt
2023-10-24_2873.txt,62,2023-10-24_2873.txt
2023-11-16_2304.txt,26,2023-11-16_2304.txt
2023-11-17_2276.txt,26,2023-11-17_2276.txt
2023-10-10_3233.txt,55,2023-10-10_3233.txt
2023-12-07_1891.txt,63,2023-12-07_1891.txt
2023-12-06_1907.txt,63,2023-12-06_1907.txt
2023-12-08_1873.txt,63,2023-12-08_1873.txt
2023-12-05_1927.txt,63,2023-12-05_1927.txt
2023-11-20_2222.txt,62,2023-11-20_2222.txt
2023-11-21_2198.txt,26,2023-11-21_2198.txt
2023-11-07_2527.txt,26,2023-11-07_2527.txt
2023-11-08_2501.txt,26,2023-11-08_2501.txt
2023-12-19_1692.txt,26,2023-12-19_1692.txt
2023-12-14_1772.txt,26,2023-12-14_1772.txt
2023-12-15_1753.txt,26,2023-12-15_1753.txt
2023-11-29_2035.txt,26,2023-11-29_2035.txt
2023-12-25_1618.txt,26,2023-12-25_1618.txt
2023-12-01_1997.txt,52,2023-12-01_1997.txt
2023-11-30_2014.txt,52,2023-11-30_2014.txt
2023-11-28_2051.txt,52,2023-11-28_2051.txt
2023-11-14_2355.txt,52,2023-11-14_2355.txt
2024-04-13_54.txt,26,2024-04-13_54.txt
2024-01-11_1445.txt,64,2024-01-11_1445.txt
2024-02-11_1133.txt,63,2024-02-11_1133.txt
2024-02-29_908.txt,63,2024-02-29_908.txt
2023-10-13_3166.txt,49,2023-10-13_3166.txt
2023-10-14_3134.txt,49,2023-10-14_3134.txt
2023-10-10_3253.txt,49,2023-10-10_3253.txt
2023-10-18_3040.txt,49,2023-10-18_3040.txt
2023-10-20_2978.txt,49,2023-10-20_2978.txt
2023-10-22_2929.txt,49,2023-10-22_2929.txt
2023-10-25_2866.txt,49,2023-10-25_2866.txt
2023-10-27_2810.txt,49,2023-10-27_2810.txt
2023-10-28_2776.txt,49,2023-10-28_2776.txt
2023-10-19_3010.txt,49,2023-10-19_3010.txt
2023-10-23_2913.txt,49,2023-10-23_2913.txt
2023-10-24_2887.txt,49,2023-10-24_2887.txt
2023-10-26_2839.txt,49,2023-10-26_2839.txt
2023-10-30_2733.txt,49,2023-10-30_2733.txt
2023-12-05_1916.txt,9,2023-12-05_1916.txt
2023-11-10_2430.txt,9,2023-11-10_2430.txt
2023-11-21_2186.txt,9,2023-11-21_2186.txt
2023-12-06_1897.txt,9,2023-12-06_1897.txt
2023-11-14_2340.txt,9,2023-11-14_2340.txt
2023-10-25_2857.txt,9,2023-10-25_2857.txt
2023-12-14_1759.txt,9,2023-12-14_1759.txt
2023-10-20_2967.txt,9,2023-10-20_2967.txt
2023-10-26_2832.txt,9,2023-10-26_2832.txt
2024-01-02_1529.txt,9,2024-01-02_1529.txt
2023-11-29_2025.txt,9,2023-11-29_2025.txt
