filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2,topic_1,topic_2
2024-01-17_1370.txt,2024-01-31_1221.txt,1.0,"Israel’s war on Gaza: List of key events, day 103",2024,1,17,"Israel’s war on Gaza: List of key events, day 117",2024,1,31,32,32
2024-01-10_1456.txt,2024-01-31_1221.txt,0.9246067349717114,"Israel’s war on Gaza: List of key events, day 96",2024,1,10,"Israel’s war on Gaza: List of key events, day 117",2024,1,31,32,32
2024-01-24_1295.txt,2024-01-31_1221.txt,0.9193838631947764,"Israel’s war on Gaza: List of key events, day 110",2024,1,24,"Israel’s war on Gaza: List of key events, day 117",2024,1,31,32,32
2024-01-10_1456.txt,2024-01-17_1370.txt,0.9246067349717114,"Israel’s war on Gaza: List of key events, day 96",2024,1,10,"Israel’s war on Gaza: List of key events, day 103",2024,1,17,32,32
2024-03-05_856.txt,2024-03-26_254.txt,0.939667046880136,"Israel’s war on Gaza: List of key events, day 151",2024,3,5,"Israel’s war on Gaza: List of key events, day 172",2024,3,26,46,46
2024-03-12_380.txt,2024-03-26_254.txt,0.7922913904859687,"Is­rael’s war on Gaza: List of key events, day 158",2024,3,12,"Israel’s war on Gaza: List of key events, day 172",2024,3,26,46,46
2024-01-16_1382.txt,2024-01-30_1226.txt,1.0000000000000002,"Israel’s war on Gaza: List of key events, day 102",2024,1,16,"Israel’s war on Gaza: List of key events, day 116",2024,1,30,32,32
2024-01-23_1304.txt,2024-01-30_1226.txt,0.9291915624085324,"Israel’s war on Gaza: List of key events, day 109",2024,1,23,"Israel’s war on Gaza: List of key events, day 116",2024,1,30,32,32
2024-02-06_1170.txt,2024-02-27_934.txt,0.9360507465514124,"Israel’s war on Gaza: List of key events, day 123",2024,2,6,"Israel’s war on Gaza: List of key events, day 144",2024,2,27,72,72
2024-02-20_1012.txt,2024-02-27_934.txt,0.9279474645647,"Israel’s war on Gaza: List of key events, day 137",2024,2,20,"Israel’s war on Gaza: List of key events, day 144",2024,2,27,72,72
2024-01-30_1226.txt,2024-04-16_23.txt,1.0000000000000002,"Israel’s war on Gaza: List of key events, day 116",2024,1,30,"Israel’s war on Gaza: List of key events, day 193",2024,4,16,32,32
2024-01-16_1382.txt,2024-04-16_23.txt,1.0000000000000002,"Israel’s war on Gaza: List of key events, day 102",2024,1,16,"Israel’s war on Gaza: List of key events, day 193",2024,4,16,32,32
2024-01-23_1304.txt,2024-04-16_23.txt,0.9291915624085324,"Israel’s war on Gaza: List of key events, day 109",2024,1,23,"Israel’s war on Gaza: List of key events, day 193",2024,4,16,32,32
2024-02-25_957.txt,2024-04-07_116.txt,0.9290385426962448,"Israel’s war on Gaza: List of key events, day 142",2024,2,25,"Israel’s war on Gaza: List of key events, day 184",2024,4,7,68,68
2024-01-21_1329.txt,2024-04-07_116.txt,0.9290385426962448,"Israel’s war on Gaza: List of key events, day 107",2024,1,21,"Israel’s war on Gaza: List of key events, day 184",2024,4,7,68,68
2024-01-14_1405.txt,2024-04-07_116.txt,0.9290385426962448,"Israel’s war on Gaza: List of key events, day 100",2024,1,14,"Israel’s war on Gaza: List of key events, day 184",2024,4,7,68,68
2024-02-18_1049.txt,2024-04-07_116.txt,0.9290385426962448,"Israel’s war on Gaza: List of key events, day 135",2024,2,18,"Israel’s war on Gaza: List of key events, day 184",2024,4,7,68,68
2024-03-31_203.txt,2024-04-07_116.txt,0.9290385426962448,"Israel’s war on Gaza: List of key events, day 177",2024,3,31,"Israel’s war on Gaza: List of key events, day 184",2024,4,7,68,68
2024-03-17_334.txt,2024-04-07_116.txt,0.7640011556525061,"Is­rael’s war on Gaza: List of key events, day 163",2024,3,17,"Israel’s war on Gaza: List of key events, day 184",2024,4,7,68,68
2024-02-04_1183.txt,2024-04-07_116.txt,0.8615062870645525,"Israel’s war on Gaza: List of key events, day 121",2024,2,4,"Israel’s war on Gaza: List of key events, day 184",2024,4,7,68,68
2024-01-07_1480.txt,2024-04-07_116.txt,0.8597394991141849,"Israel’s war on Gaza: List of key events, day 93",2024,1,7,"Israel’s war on Gaza: List of key events, day 184",2024,4,7,68,68
2024-01-28_1248.txt,2024-04-07_116.txt,0.8467840925650542,"Israel’s war on Gaza: List of key events, day 114",2024,1,28,"Israel’s war on Gaza: List of key events, day 184",2024,4,7,68,68
2024-01-21_1329.txt,2024-02-04_1183.txt,0.927309522126282,"Israel’s war on Gaza: List of key events, day 107",2024,1,21,"Israel’s war on Gaza: List of key events, day 121",2024,2,4,68,68
2024-01-14_1405.txt,2024-02-04_1183.txt,0.927309522126282,"Israel’s war on Gaza: List of key events, day 100",2024,1,14,"Israel’s war on Gaza: List of key events, day 121",2024,2,4,68,68
2024-01-07_1480.txt,2024-02-04_1183.txt,0.8581394500199201,"Israel’s war on Gaza: List of key events, day 93",2024,1,7,"Israel’s war on Gaza: List of key events, day 121",2024,2,4,68,68
2024-01-28_1248.txt,2024-02-04_1183.txt,0.8452081545957711,"Israel’s war on Gaza: List of key events, day 114",2024,1,28,"Israel’s war on Gaza: List of key events, day 121",2024,2,4,68,68
2024-01-12_1429.txt,2024-01-19_1351.txt,0.927211953949209,"Israel’s war on Gaza: List of key events, day 98",2024,1,12,"Israel’s war on Gaza: List of key events, day 105",2024,1,19,32,32
2024-02-02_1201.txt,2024-02-23_977.txt,0.936583392786222,"Israel’s war on Gaza: List of key events, day 119",2024,2,2,"Israel’s war on Gaza: List of key events, day 140",2024,2,23,72,72
2024-01-15_1394.txt,2024-01-29_1237.txt,0.927211953949209,"Israel’s war on Gaza: List of key events, day 101",2024,1,15,"Israel’s war on Gaza: List of key events, day 115",2024,1,29,69,69
2024-01-22_1317.txt,2024-01-29_1237.txt,1.0,"Israel’s war on Gaza: List of key events, day 108",2024,1,22,"Israel’s war on Gaza: List of key events, day 115",2024,1,29,69,69
2024-01-15_1394.txt,2024-02-19_1031.txt,0.927211953949209,"Israel’s war on Gaza: List of key events, day 101",2024,1,15,"Israel’s war on Gaza: List of key events, day 136",2024,2,19,69,69
2024-01-29_1237.txt,2024-02-19_1031.txt,1.0,"Israel’s war on Gaza: List of key events, day 115",2024,1,29,"Israel’s war on Gaza: List of key events, day 136",2024,2,19,69,69
2024-01-22_1317.txt,2024-02-19_1031.txt,1.0,"Israel’s war on Gaza: List of key events, day 108",2024,1,22,"Israel’s war on Gaza: List of key events, day 136",2024,2,19,69,69
2024-02-05_1175.txt,2024-02-19_1031.txt,0.936583392786222,"Israel’s war on Gaza: List of key events, day 122",2024,2,5,"Israel’s war on Gaza: List of key events, day 136",2024,2,19,69,69
2024-02-12_1118.txt,2024-02-19_1031.txt,0.927211953949209,"Israel’s war on Gaza: List of key events, day 129",2024,2,12,"Israel’s war on Gaza: List of key events, day 136",2024,2,19,69,69
2024-01-15_1394.txt,2024-01-22_1317.txt,0.927211953949209,"Israel’s war on Gaza: List of key events, day 101",2024,1,15,"Israel’s war on Gaza: List of key events, day 108",2024,1,22,69,69
2024-03-01_894.txt,2024-03-29_220.txt,0.940172432298406,"Israel’s war on Gaza: List of key events, day 147",2024,3,1,"Israel’s war on Gaza: List of key events, day 175",2024,3,29,46,46
2024-03-08_819.txt,2024-03-29_220.txt,0.940172432298406,"Israel’s war on Gaza: List of key events, day 154",2024,3,8,"Israel’s war on Gaza: List of key events, day 175",2024,3,29,46,46
